Gdzie mieszkają nietoperze?;W jaskiniach;W dziuplach;W gniazdach
Najwięcej piramid jest w:;Sudanie;Egipcie;Meksyku
Ile jest kontynentów?;6;5;7
Ile jest planet w naszym układzie słonecznym?;8;7;6
Jak długo trwałby pieszy spacer z Ziemi na Księżyc?;7 i pół roku;28 lat;2 lata
Jak wysoki jest najwyższy budynek świata?;828 m;202 m;1036 m
Jak nazywa się najgłośniejsza roślina świata?;Łoskotnica pękająca;Tulipan;Fiołek
Ile wody maksymalnie może zmieścić pelikan w dziobie?;13 litrów;5 litrów;9 litrów
Które zwierzę żyje najdłużej?;Żółw;Słoń;Gepard
Z jaką prędkością wydychamy powietrze podczas kichania?;150km/h;55km/h;320km/h
Jaką maksymalną długość osiągają liście palmy?;Do 20m;Do 40m;Do 10m
W jakim drzewie drążą swoje domy Afrykanie?;w baobabach;w sosnach;w palmach
Który dinozaur był największy?;Zauropod;Tyranozaur;Triceratops
Jak nazywał się największy mięsożerny dinozaur?;Spinozaur;Tyranozaur;Gigantozaur
Jak nazywa się największa ryba?;Rekin wielorybi;Delfin;Sum olbrzymi
Skąd pochodzi karp?;Z Chin i Japonii;Z Polski;Z Indonezji
Jaka jest największa odnotowana temperatura na świecie?;+58 °C;+95 °C;+25 °C
Skąd pochodzi Święty Mikołaj?;Z Laponii;Z Norwegii;Z Antarktydy
Na jaką głębokość potrafią nurkować pingwiny?;265 m;50 m;1000 m
Z jaką prędkością poruszają się leniwce?;Dwa metry na minutę;Pół metra na minutę;Siedem metrów na minutę
Z jaką największą prędkością porusza się lampart?;80 km/h;120 km/h;50 km/h
Gdzie nie ma niedźwiedzi polarnych?;na Antarktydzie;na Syberii;na Alasce
Najmniejsze państwo świata to: ;Watykan;Malta;Cypr
Najbardziej suche miejsce na ziemi to:;Suche doliny;Sahara;Pustynia Gobi
W ile minut leci światło ze Słońca na Ziemię?;8;20;1 
Jaki naród wymyślił fajerwerki?;Chińczycy;Australijczycy;Amerykanie 
W którym kraju żyje najwięcej ludzi?;w Chinach;w Rosji;w Stanach Zjednoczonych Ameryki
W jakim języku mówi się w Meksyku?;po hiszpańsku;po włosku;po arabsku
Stado wilków nazywamy:;watahą;ławicą;trzodą
Ryż sadzi się:;na polach zalanych wodą;na torfie;na suchym piasku
Legowisko niedźwiedzia to:;gawra;barłóg;nora
Symbolem przebiegłości w polskich bajkach jest:;lis;mysz;kot
Borsuk żywi się:;mięsem i roślinami, nie wybrzydza;tylko mięsem;tylko roślinami
Omnibus to:;osoba z dużą wiedzą;autobus szkolny;nazwa konia
Co według polskiego przyszłowia grają głodne kiszki?;marsza;tango;walca
Najgrubsza skorupa pokrywa jajo:;strusia;dziobaka;gęsi
Który słynny wulkan zasypał w 79 roku starożytne Pompeje?;Wezuwiusz;Etna;Stromboli
Która z roślin jest charakterystyczna dla Meksyku?;Kaktus;Róża;Tulipan
Jakie imiona nosili bracia Grimm?;Wilhelm i Jacob;Bolek i Lolek;Piotr i Jarek
Która z baśni jest autorstwa Andersena?;Calineczka;Kopciuszek;Mały Czerwony Kapturek
Jakie zwierze ma doskonały węch?;pies;kot (KOŃ);wiewiórka
Jaki ptak słynie ze świetnego wzroku?;sokół;wróbel;jaskółka
Największa znaleziona perła była wielkości:;piłki nożnej;groszku;piłki tenisowej 
Kiedy powstała pierwsza telewizja na świecie?;w 1928;w 1890;w 1960
Największe opony na świecie mają:;ponad 4 metry;2 metry;metr
Która planeta jest czerwona?;Mars;Jowisz;Wenus
Jakie zwierzę potrafi chodzić po wodze?;Bazyliszek;Nartnik duży;Hipopotam
Jaki rodzaj wody najlepiej wypiera człowieka?;Słona;Słodka;Gorzka
Foki nie marzną bo:;mają grubą warstwę tłuszczu;dużo się ruszają;regularnie ogrzewają się na słońcu
Która roślina rośnie najszybciej?;Bambus;Dąb;Palma
Które drzewa gubią na zimę liście?;Liściaste;Iglaste;Żadne
Kto wynalazł kalendarz?;Juliusz Cezar;Mikołaj Kopernik;Walt Disney
Jak długi jest miesiąc?;Od 28 do 31 dni;25 dni;30 dni
Jak określamy wiek drzewa?;Licząc pierścienie na pniaku;Licząc ile ma liści;Mierząc jego wysokość
Najwyższe góry świata to:;Himalaje;Karpaty;Alpy
Najdłuższa rzeka na świecie to:;Amazonka;Wisła;Nil
Gdzie najlepiej schować się przed burzą?;W domu;Pod drzewem;zbliżyć się jak najbardziej do rzeki lub jeziora
Po co wielbłądowi garb?;Magazynuje w nim tłuszcz dzięki czemu ma energie do wędrówki po pustyni;Gromadzi w nim wodę;Dla wygody jeźdźca
Czy niedźwiedź polarny może spotkać pingwina?;Nie mogą się spotkać;Tak;Widują się tylko zimą
Który instrument ma struny?;fortepian;bębny;cymbałki
Ssak, który lata to:;Nietoperz;Ryba latająca;Tukan
Delfin jest:;Ssakiem;Rybą;Płazem
Skąd pochodzili Wikingowie?;Z Norwegii, Szwecji i Danii;Anglii;Rzymu
Dinozaury były:;Gadami;Ssakami;Płazami
Berło to:;Symbol sprawowania władzy;laska;miotła
Czym jest gwiazda?;Płonącą kulą gazów;Gorącą planetą;Księżycem
Największy kontynent to:;Azja;Europa;Afryka
Największy gad, krokodyl różańcowy, ma:;7 metrów;4 metry;20 metrów
Najszybszy ptak na świecie to:;Sokół wędrowny;Struś;Orzeł Bielik
Najrzadziej występujący ptak na świecie to:;Ara modra;Jaskółka;Bocian
